Degree,Major,CGPA,Employed,Experience,Skills,Certifications,IndustryPreference,Job Role Simplified,Job Role
M.Tech,Mechanical,9.01,yes,12,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
B.Tech,Computer Science,9.98,yes,4,"Java, C++, Machine Learning, Python, SQL",PMP,Education,Data Scientist,Data Scientist
M.Tech,Computer Science,7.64,yes,13,"Java, SQL, Machine Learning, Python, C++",Six Sigma,Research,Data Scientist,Data Scientist
B.Tech,Computer Science,8.37,no,6,"Java, SQL, Python",Six Sigma,Finance,Software Engineer,Software Engineer
B.Tech,Computer Science,7.67,yes,6,"Machine Learning, Python",Data Science Certificate,Education,Data Scientist,Data Scientist
MBA,Economics,10,yes,1,"Data Analysis, R, Statistics, Econometrics",PMP,Education,Financial Analyst,Data Analyst
B.Tech,Mechanical,8.69,yes,3,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,6.26,yes,9,"SQL, Java, C++",Six Sigma,Manufacturing,Software Engineer,Software Engineer
MBA,Finance,9.6,yes,4,"Financial Modeling, Accounting, Excel, SQL",AWS Certified,Manufacturing,Financial Analyst,Data Analyst
MBA,Finance,8.92,yes,2,"Accounting, Financial Modeling, Excel",Data Science Certificate,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,9.74,no,5,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Financial Analyst,Data Analyst
MBA,Economics,9.68,no,5,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Financial Analyst,Data Analyst
MBA,Economics,6.02,yes,10,"Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
B.Tech,Mechanical,8.48,yes,12,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer,Mechanical Engineer
MBA,Finance,6.84,yes,8,"Financial Modeling, Accounting",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Economics,9.59,yes,2,"Data Analysis, R, Statistics, Econometrics",PMP,Education,Financial Analyst,Data Analyst
B.Tech,Mechanical,5.22,no,7,"SolidWorks, AutoCAD, Thermodynamics",Six Sigma,Manufacturing,Design Engineer,Software Engineer
B.Tech,Mechanical,7.67,no,11,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
M.Tech,Computer Science,9.34,yes,4,"Python, C++",PMP,Finance,Software Engineer,Software Engineer
MBA,Finance,6.62,no,6,"Financial Modeling, SQL",Six Sigma,Manufacturing,Financial Analyst,Data Analyst
B.Tech,Electrical,5.06,no,2,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
MBA,Finance,9.25,yes,2,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
MBA,Economics,6.84,yes,6,"Python, Econometrics",AWS Certified,IT,Financial Analyst,Data Analyst
MBA,Finance,10,yes,4,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
B.Tech,Computer Science,7.19,yes,2,"Machine Learning, Python",Data Science Certificate,Education,Data Analyst,Data Analyst
MBA,Finance,6.79,no,9,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
M.Tech,Computer Science,5.92,no,7,"Python, C++, SQL",Data Science Certificate,IT,Software Engineer,Software Engineer
M.Tech,Computer Science,9.39,no,8,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Computer Science,10,yes,8,"Java, C++, Machine Learning, Python, SQL",PMP,Education,Data Scientist,Data Scientist
MBA,Economics,5.99,no,7,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Electrical,5.87,yes,11,"Embedded Systems, C, Circuit Design, MATLAB, VHDL",Six Sigma,Manufacturing,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,9.68,no,9,"SQL, Machine Learning, Python, C++, Java",PMP,Manufacturing,Data Scientist,Data Scientist
M.Tech,Computer Science,8.84,yes,5,"Python, Machine Learning, Java",Data Science Certificate,Research,Data Scientist,Data Scientist
B.Tech,Mechanical,5,no,2,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
B.Tech,Mechanical,5.25,no,8,"SolidWorks, AutoCAD, Thermodynamics",Six Sigma,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,8.79,no,11,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Electrical,8.67,no,1,"MATLAB, VHDL, C, Circuit Design, Embedded Systems",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
MBA,Finance,7.26,no,2,"Excel, Risk Analysis, Accounting, Financial Modeling, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
M.Tech,Mechanical,6.5,yes,4,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
B.Tech,Mechanical,8.91,no,3,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Design Engineer,Software Engineer
MBA,Economics,7.75,no,4,"Statistics, Econometrics, Data Analysis, Python",PMP,Finance,Financial Analyst,Data Analyst
M.Tech,Mechanical,9.69,no,1,"AutoCAD, MATLAB, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
MBA,Economics,8.46,yes,11,"R, Econometrics, Data Analysis, Python, Statistics",AWS Certified,IT,Financial Analyst,Data Analyst
MBA,Economics,7.29,no,10,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
MBA,Finance,7.8,yes,1,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Electrical,7.41,yes,4,"C, VHDL, MATLAB, Circuit Design",Data Science Certificate,Research,Hardware Engineer,Software Engineer
M.Tech,Mechanical,7.32,yes,1,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
MBA,Finance,8.37,no,11,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
MBA,Finance,6.21,no,11,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
B.Tech,Electrical,8.62,yes,1,"Circuit Design, C, Embedded Systems",PMP,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,6.78,no,4,"Embedded Systems, VHDL, Circuit Design, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Mechanical,8.62,yes,13,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer,Mechanical Engineer
MBA,Economics,6.2,yes,6,"Econometrics, R, Python",Data Science Certificate,Finance,Financial Analyst,Data Analyst
B.Tech,Mechanical,8.18,no,10,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Mechanical,7.73,no,11,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
MBA,Economics,7.72,yes,12,"R, Data Analysis",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Finance,9.03,yes,1,"Financial Modeling, Accounting, Excel, SQL",AWS Certified,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,5.75,no,9,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Economics,5.73,no,10,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Mechanical,5.79,no,3,"AutoCAD, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,7.84,no,8,"C, VHDL",Data Science Certificate,Finance,Hardware Engineer,Software Engineer
M.Tech,Mechanical,6.35,yes,11,"MATLAB, Thermodynamics",Six Sigma,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Electrical,9.7,yes,7,"VHDL, MATLAB, C",Six Sigma,IT,Hardware Engineer,Software Engineer
MBA,Economics,8.36,yes,12,"R, Data Analysis",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Economics,9.08,yes,6,"Data Analysis, Python, Statistics, Econometrics",Data Science Certificate,IT,Financial Analyst,Data Analyst
M.Tech,Computer Science,7.96,yes,4,"Python, SQL, Machine Learning, Java, C++",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Electrical,5.76,yes,7,"Circuit Design, Embedded Systems, VHDL, C",PMP,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.21,no,6,"Financial Modeling, SQL",Six Sigma,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,7.44,yes,6,"Python, Econometrics, R, Data Analysis",PMP,Manufacturing,Financial Analyst,Data Analyst
B.Tech,Mechanical,5.04,no,8,"SolidWorks, AutoCAD, Thermodynamics",Six Sigma,Manufacturing,Design Engineer,Software Engineer
M.Tech,Mechanical,5.53,no,5,"Thermodynamics, MATLAB, SolidWorks, AutoCAD",Data Science Certificate,Finance,Design Engineer,Software Engineer
B.Tech,Electrical,5.21,no,4,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.12,yes,0,"Financial Modeling, SQL, Excel, Accounting, Risk Analysis",Six Sigma,Finance,Investment Analyst,Data Analyst
MBA,Economics,5.99,no,5,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
M.Tech,Computer Science,5.65,no,12,"Java, Python",Six Sigma,Education,Software Engineer,Software Engineer
MBA,Finance,9.46,yes,0,"Accounting, Financial Modeling, Excel",Data Science Certificate,Manufacturing,Financial Analyst,Data Analyst
MBA,Finance,6.51,no,4,"Accounting, Financial Modeling, Excel",Data Science Certificate,Finance,Financial Analyst,Data Analyst
MBA,Finance,5.31,no,0,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
MBA,Finance,8.48,no,9,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
MBA,Finance,6.31,yes,8,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst,Data Analyst
B.Tech,Computer Science,6.38,no,6,"C++, Java, SQL, Python, Machine Learning",Data Science Certificate,Research,Data Analyst,Data Analyst
M.Tech,Mechanical,9.18,yes,8,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
B.Tech,Electrical,5.53,no,9,"Embedded Systems, MATLAB",Six Sigma,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,5.07,no,2,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
MBA,Economics,6.5,yes,5,"Econometrics, R, Python",Data Science Certificate,Finance,Financial Analyst,Data Analyst
MBA,Finance,5.93,no,4,"Financial Modeling, SQL",Six Sigma,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,9.42,yes,10,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Economics,7.33,yes,1,"Python, Econometrics",AWS Certified,IT,Financial Analyst,Data Analyst
B.Tech,Electrical,9.33,yes,8,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.9,no,12,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
M.Tech,Mechanical,6.03,yes,9,"MATLAB, Thermodynamics",Six Sigma,Manufacturing,Mechanical Engineer,Mechanical Engineer
MBA,Finance,9.36,no,1,"Financial Modeling, SQL, Accounting, Excel",Data Science Certificate,IT,Financial Analyst,Data Analyst
M.Tech,Computer Science,7.71,yes,6,"Python, SQL, Machine Learning, Java, C++",AWS Certified,IT,Data Scientist,Data Scientist
MBA,Economics,7.11,no,5,"Data Analysis, R, Econometrics, Python, Statistics",PMP,IT,Financial Analyst,Data Analyst
MBA,Finance,5.66,yes,4,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst,Data Analyst
B.Tech,Computer Science,7.34,no,4,"C++, Python, SQL",Six Sigma,Finance,Software Engineer,Software Engineer
M.Tech,Mechanical,9.87,no,3,"AutoCAD, MATLAB, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
MBA,Finance,9.23,yes,0,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
B.Tech,Mechanical,5.44,no,3,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
B.Tech,Mechanical,7.9,no,11,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Mechanical,8.32,yes,9,"MATLAB, Thermodynamics, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
MBA,Economics,9.53,yes,2,"R, Data Analysis",PMP,Education,Financial Analyst,Data Analyst
MBA,Finance,9.5,yes,3,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
M.Tech,Mechanical,9.42,yes,11,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
B.Tech,Mechanical,8.97,yes,0,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Manufacturing,Design Engineer,Software Engineer
MBA,Finance,5.45,yes,13,"Financial Modeling, Accounting, Risk Analysis",AWS Certified,Research,Investment Analyst,Data Analyst
MBA,Finance,9.4,yes,7,"Excel, Risk Analysis",PMP,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Mechanical,5,no,6,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
MBA,Economics,7.01,yes,1,"Python, Econometrics",AWS Certified,IT,Financial Analyst,Data Analyst
MBA,Finance,8.19,yes,3,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Computer Science,5.94,no,6,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Data Analyst,Data Analyst
M.Tech,Mechanical,5,yes,7,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
M.Tech,Computer Science,6.27,no,13,"Java, Python",Six Sigma,Education,Software Engineer,Software Engineer
MBA,Economics,8.21,yes,8,"R, Econometrics, Data Analysis, Python, Statistics",AWS Certified,IT,Financial Analyst,Data Analyst
B.Tech,Electrical,5.33,no,7,"Embedded Systems, MATLAB",Six Sigma,Finance,Embedded Systems Engineer,Software Engineer
MBA,Economics,6.11,no,11,"Econometrics, Python, Data Analysis",Six Sigma,Finance,Financial Analyst,Data Analyst
B.Tech,Electrical,9.69,yes,3,"Circuit Design, Embedded Systems",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,8.86,yes,5,"Circuit Design, C, Embedded Systems",PMP,IT,Embedded Systems Engineer,Software Engineer
MBA,Finance,5.39,no,4,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
M.Tech,Mechanical,9.29,yes,13,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
MBA,Economics,6.56,no,13,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
B.Tech,Electrical,9.43,yes,9,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
B.Tech,Electrical,9.46,yes,8,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,8.61,yes,2,"Circuit Design, C, Embedded Systems",PMP,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Computer Science,5.59,yes,7,"SQL, Machine Learning, C++, Java",PMP,IT,Data Analyst,Data Analyst
MBA,Economics,7.19,no,12,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
B.Tech,Computer Science,6.47,no,7,"C++, Java, SQL, Python, Machine Learning",Data Science Certificate,Research,Data Analyst,Data Analyst
B.Tech,Electrical,9.08,yes,9,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
M.Tech,Computer Science,8.98,no,2,"C++, Java",Six Sigma,IT,Software Engineer,Software Engineer
B.Tech,Mechanical,8.69,yes,8,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Computer Science,5.09,no,2,"Machine Learning, C++",AWS Certified,Education,Data Analyst,Data Analyst
M.Tech,Mechanical,5.48,no,11,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
M.Tech,Computer Science,8.81,no,1,"C++, Java",Six Sigma,IT,Software Engineer,Software Engineer
B.Tech,Electrical,7.8,no,0,"C, Embedded Systems, Circuit Design",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,6.83,yes,8,"MATLAB, SolidWorks, Thermodynamics",PMP,Education,Design Engineer,Software Engineer
B.Tech,Computer Science,5.41,no,7,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Data Analyst,Data Analyst
MBA,Finance,9.31,yes,6,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
B.Tech,Electrical,5.87,yes,11,"Embedded Systems, C, Circuit Design, MATLAB, VHDL",Six Sigma,Manufacturing,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,7.64,no,6,"Java, Machine Learning, Python, C++",Data Science Certificate,Manufacturing,Data Scientist,Data Scientist
M.Tech,Computer Science,9.2,no,2,"C++, Java",Six Sigma,IT,Software Engineer,Software Engineer
B.Tech,Computer Science,7.88,no,5,"Java, SQL, Python",Six Sigma,Finance,Software Engineer,Software Engineer
M.Tech,Mechanical,6.51,yes,4,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
M.Tech,Mechanical,5.74,no,8,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
M.Tech,Computer Science,6.15,no,7,"C++, SQL, Java",AWS Certified,Manufacturing,Software Engineer,Software Engineer
MBA,Finance,5.45,yes,4,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst,Data Analyst
MBA,Finance,7.43,no,11,"Financial Modeling, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Computer Science,8.51,no,12,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
M.Tech,Mechanical,9.18,no,1,"AutoCAD, MATLAB, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
M.Tech,Computer Science,8.37,no,0,"Machine Learning, SQL",Six Sigma,Manufacturing,Data Scientist,Data Scientist
MBA,Finance,7.96,yes,3,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Investment Analyst,Data Analyst
MBA,Finance,9.9,yes,4,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
MBA,Finance,7.08,no,9,"Financial Modeling, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Mechanical,9.23,yes,8,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
M.Tech,Computer Science,6.13,no,3,"C++, SQL, Java",AWS Certified,Manufacturing,Software Engineer,Software Engineer
B.Tech,Mechanical,7.98,no,9,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
M.Tech,Computer Science,8.93,yes,4,"Python, Machine Learning, Java",Data Science Certificate,Research,Data Scientist,Data Scientist
B.Tech,Mechanical,9.87,yes,8,"Thermodynamics, AutoCAD, SolidWorks, MATLAB",PMP,Finance,Design Engineer,Software Engineer
MBA,Finance,5.32,yes,13,"Financial Modeling, Accounting, Risk Analysis",AWS Certified,Research,Investment Analyst,Data Analyst
B.Tech,Electrical,9.55,yes,9,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
B.Tech,Electrical,8.89,yes,7,"VHDL, MATLAB, C",Six Sigma,IT,Hardware Engineer,Software Engineer
B.Tech,Computer Science,7.67,no,4,"Java, SQL, Python",Six Sigma,Finance,Software Engineer,Software Engineer
B.Tech,Mechanical,7.89,no,10,"Thermodynamics, AutoCAD, SolidWorks",PMP,Research,Design Engineer,Software Engineer
MBA,Finance,10,yes,2,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
B.Tech,Electrical,6.88,no,1,"Embedded Systems, VHDL, Circuit Design, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,8.7,yes,2,"Thermodynamics, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
MBA,Economics,7.76,no,5,"Statistics, Econometrics, Data Analysis, Python",PMP,Finance,Financial Analyst,Data Analyst
M.Tech,Mechanical,6.85,yes,1,"AutoCAD, Thermodynamics",Six Sigma,IT,Design Engineer,Software Engineer
M.Tech,Mechanical,5,yes,12,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
B.Tech,Electrical,9.14,yes,10,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
B.Tech,Electrical,5.69,no,3,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,6.81,yes,12,"MATLAB, SolidWorks, Thermodynamics",PMP,Education,Design Engineer,Software Engineer
M.Tech,Mechanical,9.3,yes,10,"AutoCAD, MATLAB",AWS Certified,Education,Design Engineer,Software Engineer
MBA,Economics,7.48,yes,3,"Python, Econometrics, R, Data Analysis",PMP,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,7.74,no,4,"Statistics, Econometrics, Data Analysis, Python",PMP,Finance,Financial Analyst,Data Analyst
MBA,Finance,9.74,yes,0,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
MBA,Finance,5.67,no,1,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
B.Tech,Electrical,8.68,no,0,"MATLAB, VHDL, C, Circuit Design, Embedded Systems",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,5.29,no,10,"SQL, Python, C++, Java, Machine Learning",PMP,Education,Data Analyst,Data Analyst
M.Tech,Computer Science,8.15,no,1,"Machine Learning, SQL",Six Sigma,Manufacturing,Data Scientist,Data Scientist
M.Tech,Computer Science,8.32,yes,4,"Python, Machine Learning, Java",Data Science Certificate,Research,Data Scientist,Data Scientist
B.Tech,Mechanical,7.87,yes,11,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer,Mechanical Engineer
M.Tech,Computer Science,8.99,yes,2,"Python, C++",PMP,Finance,Software Engineer,Software Engineer
MBA,Finance,9.22,yes,5,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
M.Tech,Mechanical,10,no,0,"AutoCAD, MATLAB, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
B.Tech,Electrical,5.68,no,0,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
MBA,Finance,9.63,yes,6,"Excel, Risk Analysis",PMP,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Mechanical,6.59,yes,5,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Finance,Design Engineer,Software Engineer
MBA,Economics,9.55,no,1,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Financial Analyst,Data Analyst
MBA,Economics,9.24,yes,4,"Data Analysis, Python, Statistics, Econometrics",Data Science Certificate,IT,Financial Analyst,Data Analyst
B.Tech,Mechanical,8.51,yes,2,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Manufacturing,Design Engineer,Software Engineer
MBA,Finance,5.74,yes,11,"Financial Modeling, Accounting, Risk Analysis",AWS Certified,Research,Investment Analyst,Data Analyst
B.Tech,Computer Science,5.23,yes,11,"SQL, Machine Learning, C++, Java",PMP,IT,Data Analyst,Data Analyst
B.Tech,Electrical,5.42,no,12,"VHDL, Embedded Systems, Circuit Design",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,6.76,yes,3,"AutoCAD, Thermodynamics",Six Sigma,IT,Design Engineer,Software Engineer
B.Tech,Mechanical,5.78,no,8,"AutoCAD, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,5,no,1,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,7.08,no,0,"Thermodynamics, MATLAB",AWS Certified,Research,Mechanical Engineer,Mechanical Engineer
MBA,Economics,10,yes,11,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Electrical,5.69,no,0,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Mechanical,5.65,no,4,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
MBA,Finance,9.76,yes,2,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
MBA,Finance,6.38,yes,4,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst,Data Analyst
B.Tech,Electrical,5.44,yes,5,"MATLAB, Embedded Systems, VHDL, Circuit Design, C",PMP,Finance,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,6.86,yes,4,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
MBA,Finance,9.97,yes,3,"Accounting, Risk Analysis, Financial Modeling",AWS Certified,Finance,Investment Analyst,Data Analyst
M.Tech,Mechanical,5.68,no,8,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
M.Tech,Mechanical,6.4,yes,6,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
MBA,Economics,6.72,no,8,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
MBA,Finance,8.07,yes,1,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Computer Science,9.35,no,0,"C++, Java",Six Sigma,IT,Software Engineer,Software Engineer
M.Tech,Computer Science,10,yes,3,"C++, Machine Learning, SQL, Java",Data Science Certificate,Manufacturing,Data Scientist,Data Scientist
B.Tech,Mechanical,8.32,no,3,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Design Engineer,Software Engineer
MBA,Economics,6.95,no,9,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
MBA,Finance,9.72,yes,10,"Excel, Risk Analysis",PMP,Manufacturing,Investment Analyst,Data Analyst
MBA,Finance,6.48,no,10,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
MBA,Economics,8.27,no,3,"R, Statistics, Data Analysis",Data Science Certificate,Research,Financial Analyst,Data Analyst
M.Tech,Computer Science,6.39,no,3,"C++, SQL, Java",AWS Certified,Manufacturing,Software Engineer,Software Engineer
B.Tech,Mechanical,8.64,no,6,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Design Engineer,Software Engineer
B.Tech,Mechanical,9.12,no,4,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Design Engineer,Software Engineer
B.Tech,Computer Science,6.03,no,2,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Data Analyst,Data Analyst
MBA,Finance,6.48,no,3,"Accounting, Financial Modeling",PMP,IT,Financial Analyst,Data Analyst
