Degree,Major,CGPA,Employed,Experience,Skills,Certifications,IndustryPreference,Job Role Simplified,Job Role
M.Tech,Computer Science,6.62,yes,12,"SQL, Java, C++",Six Sigma,Manufacturing,Software Engineer,Software Engineer
MBA,Economics,6.63,no,10,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
M.Tech,Computer Science,5.4,no,8,"SQL, Python, C++, Java, Machine Learning",PMP,Education,Data Analyst,Data Analyst
MBA,Economics,9.41,yes,7,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Economics,7.37,yes,0,"R, Data Analysis, Python",Six Sigma,IT,Financial Analyst,Data Analyst
MBA,Finance,7.01,no,4,"Accounting, Financial Modeling, Excel",Data Science Certificate,Finance,Financial Analyst,Data Analyst
B.Tech,Electrical,9.32,yes,9,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,6.64,no,9,"Financial Modeling, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Computer Science,7.59,yes,3,"Machine Learning, Python",Data Science Certificate,Education,Data Scientist,Data Scientist
B.Tech,Electrical,7.25,yes,4,"C, VHDL, MATLAB, Circuit Design",Data Science Certificate,Research,Hardware Engineer,Software Engineer
M.Tech,Computer Science,7.97,yes,7,"Python, SQL, Machine Learning, Java, C++",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Mechanical,9.98,yes,4,"Thermodynamics, AutoCAD, SolidWorks, MATLAB",PMP,Finance,Design Engineer,Software Engineer
MBA,Finance,5.02,no,2,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
M.Tech,Computer Science,8.37,no,2,"Machine Learning, SQL",Six Sigma,Manufacturing,Data Scientist,Data Scientist
MBA,Economics,5.52,no,9,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Economics,7.62,no,3,"Statistics, Econometrics, Data Analysis, Python",PMP,Finance,Financial Analyst,Data Analyst
B.Tech,Electrical,5.48,no,3,"Embedded Systems, C",AWS Certified,IT,Embedded Systems Engineer,Software Engineer
B.Tech,Mechanical,9.26,yes,0,"SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,5.45,no,12,"SQL, Python, C++, Java, Machine Learning",PMP,Education,Data Analyst,Data Analyst
B.Tech,Electrical,10.0,yes,12,"Circuit Design, VHDL, Embedded Systems, C",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
B.Tech,Mechanical,5.61,no,5,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
MBA,Finance,7.08,yes,9,"Financial Modeling, Accounting",Data Science Certificate,IT,Financial Analyst,Data Analyst
B.Tech,Electrical,5.76,no,9,"Embedded Systems, MATLAB",Six Sigma,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,7.37,yes,10,"Financial Modeling, Accounting",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Finance,9.25,yes,1,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
MBA,Finance,6.91,no,4,"SQL, Financial Modeling, Accounting, Risk Analysis, Excel",Six Sigma,Finance,Investment Analyst,Data Analyst
M.Tech,Mechanical,6.85,yes,4,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
B.Tech,Computer Science,7.63,no,4,"C++, Python, SQL",Six Sigma,Finance,Software Engineer,Software Engineer
B.Tech,Electrical,9.52,yes,11,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
M.Tech,Computer Science,8.52,no,3,"C++, Machine Learning, Java, Python, SQL",Six Sigma,IT,Data Scientist,Data Scientist
B.Tech,Electrical,9.84,yes,5,"Circuit Design, Embedded Systems",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
MBA,Economics,10.0,yes,0,"Data Analysis, R, Statistics, Econometrics",PMP,Education,Financial Analyst,Data Analyst
B.Tech,Mechanical,6.33,no,6,"AutoCAD, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,5.81,yes,7,"Embedded Systems, C, Circuit Design, MATLAB, VHDL",Six Sigma,Manufacturing,Embedded Systems Engineer,Software Engineer
MBA,Economics,6.23,yes,8,"Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
B.Tech,Electrical,9.14,no,7,"Embedded Systems, C, Circuit Design, MATLAB",Data Science Certificate,Finance,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,8.54,yes,3,"Python, Machine Learning, Java",Data Science Certificate,Research,Data Scientist,Data Scientist
B.Tech,Computer Science,6.08,no,4,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Data Analyst,Data Analyst
B.Tech,Electrical,9.52,yes,8,"Circuit Design, VHDL, Embedded Systems, C",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,8.6,no,0,"C++, Machine Learning, Java, Python, SQL",Six Sigma,IT,Data Scientist,Data Scientist
MBA,Finance,7.87,yes,4,"Risk Analysis, Accounting, SQL",PMP,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Computer Science,9.49,no,11,"SQL, Machine Learning, Python, C++, Java",PMP,Manufacturing,Data Scientist,Data Scientist
MBA,Finance,7.19,no,0,"Excel, Risk Analysis, Accounting, Financial Modeling, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
M.Tech,Computer Science,8.17,yes,11,"Java, SQL, Machine Learning, Python, C++",Six Sigma,Research,Data Scientist,Data Scientist
MBA,Finance,8.56,no,12,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Mechanical,7.95,yes,10,"MATLAB, Thermodynamics, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,5.81,no,10,"Embedded Systems, MATLAB",Six Sigma,Finance,Embedded Systems Engineer,Software Engineer
B.Tech,Computer Science,7.41,yes,5,"Machine Learning, Python",Data Science Certificate,Education,Data Analyst,Data Analyst
M.Tech,Mechanical,7.22,yes,12,"MATLAB, SolidWorks, Thermodynamics",PMP,Education,Design Engineer,Software Engineer
M.Tech,Computer Science,8.95,no,11,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
MBA,Finance,9.72,yes,0,"Accounting, Risk Analysis, Excel, SQL, Financial Modeling",PMP,Research,Investment Analyst,Data Analyst
B.Tech,Computer Science,5.96,yes,0,"Machine Learning, Python, Java",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
M.Tech,Mechanical,7.88,yes,4,"MATLAB, Thermodynamics, AutoCAD",PMP,Research,Design Engineer,Software Engineer
M.Tech,Computer Science,10.0,yes,1,"C++, Machine Learning, SQL, Java",Data Science Certificate,Manufacturing,Data Scientist,Data Scientist
MBA,Finance,9.35,yes,4,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
MBA,Economics,9.88,yes,11,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
M.Tech,Mechanical,6.69,yes,4,"AutoCAD, MATLAB",Data Science Certificate,IT,Design Engineer,Software Engineer
MBA,Finance,6.71,no,12,"Accounting, SQL, Risk Analysis",Six Sigma,Finance,Investment Analyst,Data Analyst
B.Tech,Computer Science,5.58,no,4,"Machine Learning, C++",AWS Certified,Education,Data Analyst,Data Analyst
MBA,Economics,7.1,no,4,"Python, Data Analysis, Econometrics, Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
B.Tech,Electrical,9.54,yes,3,"MATLAB, VHDL, C, Circuit Design",AWS Certified,Finance,Hardware Engineer,Software Engineer
M.Tech,Computer Science,7.54,no,2,"Java, Machine Learning, Python, C++",Data Science Certificate,Manufacturing,Data Scientist,Data Scientist
MBA,Finance,8.57,no,8,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
MBA,Finance,9.46,yes,2,"Financial Modeling, Accounting, Excel, SQL",AWS Certified,Manufacturing,Financial Analyst,Data Analyst
B.Tech,Electrical,5.91,yes,10,"MATLAB, VHDL, C",PMP,Manufacturing,Hardware Engineer,Software Engineer
M.Tech,Mechanical,6.43,yes,5,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Finance,Design Engineer,Software Engineer
MBA,Finance,7.25,no,10,"Financial Modeling, Excel, Risk Analysis",Six Sigma,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Mechanical,8.01,yes,10,"MATLAB, Thermodynamics, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,8.57,yes,8,"Java, SQL, Machine Learning, Python, C++",Six Sigma,Research,Data Scientist,Data Scientist
M.Tech,Computer Science,8.99,no,10,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
B.Tech,Electrical,8.65,no,0,"MATLAB, VHDL, C, Circuit Design, Embedded Systems",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,7.28,yes,6,"Thermodynamics, MATLAB, AutoCAD",AWS Certified,Manufacturing,Design Engineer,Software Engineer
MBA,Economics,6.59,no,12,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
M.Tech,Computer Science,6.14,no,10,"Python, C++, SQL",Data Science Certificate,IT,Software Engineer,Software Engineer
M.Tech,Computer Science,6.98,yes,13,"SQL, Java, C++",Six Sigma,Manufacturing,Software Engineer,Software Engineer
B.Tech,Mechanical,5.19,no,6,"SolidWorks, AutoCAD, Thermodynamics",Six Sigma,Manufacturing,Design Engineer,Software Engineer
MBA,Finance,6.94,no,10,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
MBA,Finance,9.73,no,3,"Financial Modeling, SQL, Accounting, Excel",Data Science Certificate,IT,Financial Analyst,Data Analyst
B.Tech,Electrical,9.32,yes,7,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
MBA,Finance,8.55,no,8,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
B.Tech,Electrical,5.31,no,7,"VHDL, Embedded Systems, Circuit Design",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,9.26,no,0,"Java, C++",AWS Certified,Manufacturing,Software Engineer,Software Engineer
M.Tech,Computer Science,8.29,yes,2,"Python, Machine Learning, Java",Data Science Certificate,Research,Data Scientist,Data Scientist
MBA,Economics,8.89,yes,7,"Statistics, Python, R, Data Analysis",AWS Certified,Finance,Financial Analyst,Data Analyst
B.Tech,Electrical,9.01,yes,2,"MATLAB, VHDL, C, Circuit Design",AWS Certified,Finance,Hardware Engineer,Software Engineer
B.Tech,Computer Science,6.13,no,3,"Machine Learning, C++, Python, SQL",Data Science Certificate,IT,Data Analyst,Data Analyst
M.Tech,Computer Science,6.71,no,3,"C++, SQL, Java",AWS Certified,Manufacturing,Software Engineer,Software Engineer
M.Tech,Computer Science,9.78,no,1,"Java, C++",AWS Certified,Manufacturing,Software Engineer,Software Engineer
M.Tech,Mechanical,8.75,yes,6,"Thermodynamics, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
B.Tech,Computer Science,5.98,yes,2,"Machine Learning, Python, Java",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
MBA,Economics,8.73,no,3,"R, Statistics, Data Analysis",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Mechanical,7.82,no,8,"Thermodynamics, MATLAB",PMP,Manufacturing,Mechanical Engineer,Mechanical Engineer
B.Tech,Electrical,5.0,yes,11,"Circuit Design, Embedded Systems, VHDL, C",PMP,Finance,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,9.54,no,1,"Java, C++",AWS Certified,Manufacturing,Software Engineer,Software Engineer
MBA,Finance,6.79,no,2,"Accounting, Financial Modeling, Excel",Data Science Certificate,Finance,Financial Analyst,Data Analyst
M.Tech,Computer Science,6.75,no,6,"C++, SQL, Java",AWS Certified,Manufacturing,Software Engineer,Software Engineer
B.Tech,Mechanical,5.74,no,5,"AutoCAD, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,7.59,yes,5,"Python, SQL, Machine Learning, Java, C++",AWS Certified,IT,Data Scientist,Data Scientist
M.Tech,Mechanical,8.03,yes,2,"Thermodynamics, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
MBA,Economics,8.6,no,6,"R, Statistics, Data Analysis",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Finance,9.09,yes,6,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
B.Tech,Mechanical,8.73,yes,10,"MATLAB, Thermodynamics",Data Science Certificate,Manufacturing,Mechanical Engineer,Mechanical Engineer
M.Tech,Computer Science,8.92,no,8,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
MBA,Economics,6.89,yes,4,"Econometrics, R, Python",Data Science Certificate,Finance,Financial Analyst,Data Analyst
MBA,Finance,5.12,yes,13,"Financial Modeling, Accounting, Risk Analysis",AWS Certified,Research,Investment Analyst,Data Analyst
B.Tech,Mechanical,9.12,no,4,"Thermodynamics, SolidWorks",AWS Certified,Manufacturing,Design Engineer,Software Engineer
B.Tech,Computer Science,6.94,yes,2,"Machine Learning, Python, Java",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
B.Tech,Electrical,10.0,yes,2,"Circuit Design, Embedded Systems",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,5.38,no,5,"Thermodynamics, MATLAB, SolidWorks, AutoCAD",Data Science Certificate,Finance,Design Engineer,Software Engineer
MBA,Finance,9.15,yes,6,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
M.Tech,Computer Science,5.91,no,11,"Java, Python",Six Sigma,Education,Software Engineer,Software Engineer
B.Tech,Electrical,7.78,no,11,"C, VHDL",Data Science Certificate,Finance,Hardware Engineer,Software Engineer
MBA,Economics,8.35,no,5,"R, Statistics, Data Analysis",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Electrical,5.0,no,10,"VHDL, Embedded Systems, Circuit Design",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
MBA,Finance,8.75,yes,0,"Accounting, Financial Modeling, Excel",Data Science Certificate,Manufacturing,Financial Analyst,Data Analyst
M.Tech,Mechanical,6.48,yes,9,"MATLAB, Thermodynamics",Six Sigma,Manufacturing,Mechanical Engineer,Mechanical Engineer
MBA,Economics,9.46,yes,4,"R, Data Analysis",PMP,Education,Financial Analyst,Data Analyst
M.Tech,Computer Science,8.25,no,0,"Machine Learning, SQL",Six Sigma,Manufacturing,Data Scientist,Data Scientist
M.Tech,Mechanical,7.3,yes,2,"MATLAB, Thermodynamics, AutoCAD",PMP,Research,Design Engineer,Software Engineer
M.Tech,Mechanical,7.86,yes,6,"Thermodynamics, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
M.Tech,Computer Science,5.6,no,9,"Python, C++, SQL",Data Science Certificate,IT,Software Engineer,Software Engineer
B.Tech,Electrical,9.28,yes,11,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
MBA,Economics,5.25,no,5,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Economics,6.81,no,6,"Data Analysis, R, Econometrics, Python, Statistics",PMP,IT,Financial Analyst,Data Analyst
M.Tech,Computer Science,9.41,no,0,"C++, Java",Six Sigma,IT,Software Engineer,Software Engineer
MBA,Finance,6.92,no,5,"SQL, Financial Modeling, Accounting, Risk Analysis, Excel",Six Sigma,Finance,Investment Analyst,Data Analyst
MBA,Finance,9.52,yes,8,"Excel, Risk Analysis",PMP,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Mechanical,7.34,yes,5,"Thermodynamics, MATLAB, AutoCAD",AWS Certified,Manufacturing,Design Engineer,Software Engineer
M.Tech,Mechanical,7.06,yes,3,"Thermodynamics, MATLAB, AutoCAD",AWS Certified,Manufacturing,Design Engineer,Software Engineer
B.Tech,Electrical,9.71,yes,10,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,8.71,yes,3,"Python, C++",PMP,Finance,Software Engineer,Software Engineer
MBA,Economics,9.22,yes,6,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Finance,7.19,yes,10,"Financial Modeling, Accounting",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Economics,7.49,yes,3,"Python, Econometrics",AWS Certified,IT,Financial Analyst,Data Analyst
M.Tech,Mechanical,6.84,yes,5,"Thermodynamics, MATLAB, AutoCAD",AWS Certified,Manufacturing,Design Engineer,Software Engineer
M.Tech,Computer Science,7.07,no,4,"Java, Machine Learning, Python, C++",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
B.Tech,Electrical,7.96,no,1,"C, Embedded Systems, Circuit Design",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,8.9,yes,5,"MATLAB, VHDL, C, Circuit Design",AWS Certified,Finance,Hardware Engineer,Software Engineer
B.Tech,Mechanical,5.01,no,4,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
M.Tech,Mechanical,6.5,yes,5,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Finance,Design Engineer,Software Engineer
M.Tech,Computer Science,8.85,yes,2,"Python, C++",PMP,Finance,Software Engineer,Software Engineer
MBA,Economics,9.56,yes,5,"Data Analysis, Python, Statistics, Econometrics",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Finance,5.85,no,3,"Accounting, Financial Modeling",PMP,IT,Financial Analyst,Data Analyst
M.Tech,Computer Science,5.97,no,7,"C++, SQL, Java",AWS Certified,Manufacturing,Software Engineer,Software Engineer
MBA,Economics,7.31,no,13,"Data Analysis, Econometrics, Statistics",Six Sigma,Finance,Financial Analyst,Data Analyst
M.Tech,Mechanical,6.64,yes,3,"AutoCAD, Thermodynamics",Six Sigma,IT,Design Engineer,Software Engineer
M.Tech,Computer Science,6.16,yes,9,"SQL, Java, C++",Six Sigma,Manufacturing,Software Engineer,Software Engineer
B.Tech,Electrical,9.84,yes,10,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
MBA,Finance,7.04,no,12,"Accounting, SQL, Excel, Financial Modeling, Risk Analysis",AWS Certified,IT,Investment Analyst,Data Analyst
M.Tech,Mechanical,7.05,yes,4,"MATLAB, Thermodynamics, AutoCAD",PMP,Research,Design Engineer,Software Engineer
MBA,Finance,7.65,no,3,"Excel, Risk Analysis, Accounting, Financial Modeling, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
M.Tech,Computer Science,5.99,yes,13,"SQL, Java, C++",Six Sigma,Manufacturing,Software Engineer,Software Engineer
MBA,Finance,6.53,no,3,"Financial Modeling, SQL",Six Sigma,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,6.62,no,4,"Python, Data Analysis, Econometrics, Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
MBA,Economics,5.48,no,6,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
M.Tech,Computer Science,5.86,no,13,"SQL, Python, C++, Java, Machine Learning",PMP,Education,Data Analyst,Data Analyst
MBA,Finance,6.02,no,2,"Accounting, Financial Modeling",PMP,IT,Financial Analyst,Data Analyst
B.Tech,Computer Science,6.91,no,8,"C++, Java, SQL, Python, Machine Learning",Data Science Certificate,Research,Data Analyst,Data Analyst
B.Tech,Mechanical,9.85,yes,9,"Thermodynamics, AutoCAD, SolidWorks, MATLAB",PMP,Finance,Design Engineer,Software Engineer
MBA,Economics,6.13,yes,2,"Econometrics, R, Python",Data Science Certificate,Finance,Financial Analyst,Data Analyst
M.Tech,Computer Science,6.89,no,6,"Java, Machine Learning, Python, C++",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
B.Tech,Mechanical,7.94,yes,12,"MATLAB, Thermodynamics, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Mechanical,6.52,no,3,"AutoCAD, SolidWorks",PMP,Manufacturing,Design Engineer,Software Engineer
B.Tech,Mechanical,5.38,no,4,"AutoCAD, MATLAB, SolidWorks",PMP,Education,Design Engineer,Software Engineer
B.Tech,Computer Science,5.72,no,6,"Machine Learning, C++",AWS Certified,Education,Data Analyst,Data Analyst
MBA,Finance,9.48,yes,4,"Financial Modeling, Excel, Accounting, Risk Analysis, SQL",Six Sigma,Education,Investment Analyst,Data Analyst
B.Tech,Mechanical,5.14,no,0,"AutoCAD, MATLAB, SolidWorks",PMP,Education,Design Engineer,Software Engineer
MBA,Finance,9.82,yes,5,"Financial Modeling, Accounting, Excel, SQL",AWS Certified,Manufacturing,Financial Analyst,Data Analyst
MBA,Finance,9.29,yes,0,"Accounting, Financial Modeling, Excel",Data Science Certificate,Manufacturing,Financial Analyst,Data Analyst
MBA,Economics,9.39,no,5,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Financial Analyst,Data Analyst
B.Tech,Mechanical,5.67,no,4,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
B.Tech,Electrical,9.22,yes,10,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,8.78,yes,5,"MATLAB, VHDL, C, Circuit Design",AWS Certified,Finance,Hardware Engineer,Software Engineer
MBA,Finance,5.79,no,3,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
MBA,Finance,7.97,no,12,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Computer Science,9.95,yes,6,"Java, Machine Learning, Python, C++",Six Sigma,IT,Data Scientist,Data Scientist
M.Tech,Computer Science,8.95,no,7,"Machine Learning, Java, Python",AWS Certified,IT,Data Scientist,Data Scientist
M.Tech,Mechanical,5.81,no,11,"Thermodynamics, SolidWorks, AutoCAD, MATLAB",Data Science Certificate,Research,Design Engineer,Software Engineer
MBA,Economics,5.54,no,9,"Statistics, Econometrics, R",Data Science Certificate,Research,Financial Analyst,Data Analyst
M.Tech,Mechanical,5.6,no,8,"Thermodynamics, MATLAB, SolidWorks, AutoCAD",Data Science Certificate,Finance,Design Engineer,Software Engineer
MBA,Finance,5.44,no,2,"Accounting, Excel",PMP,Education,Financial Analyst,Data Analyst
B.Tech,Computer Science,7.69,no,7,"Java, SQL, Python",Six Sigma,Finance,Software Engineer,Software Engineer
B.Tech,Computer Science,8.21,no,5,"Java, SQL, Python",Six Sigma,Finance,Software Engineer,Software Engineer
B.Tech,Mechanical,5.46,no,0,"AutoCAD, MATLAB, SolidWorks",PMP,Education,Design Engineer,Software Engineer
MBA,Finance,10.0,no,4,"Financial Modeling, SQL, Accounting, Excel",Data Science Certificate,IT,Financial Analyst,Data Analyst
B.Tech,Electrical,5.44,no,7,"VHDL, Embedded Systems, Circuit Design",Data Science Certificate,IT,Embedded Systems Engineer,Software Engineer
M.Tech,Computer Science,9.99,yes,10,"Java, Machine Learning, Python, C++",Six Sigma,IT,Data Scientist,Data Scientist
B.Tech,Electrical,9.16,yes,9,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
B.Tech,Electrical,7.3,yes,3,"C, VHDL, MATLAB, Circuit Design",Data Science Certificate,Research,Hardware Engineer,Software Engineer
M.Tech,Computer Science,9.63,no,0,"Java, C++",AWS Certified,Manufacturing,Software Engineer,Software Engineer
B.Tech,Mechanical,5.0,no,2,"Thermodynamics, MATLAB",AWS Certified,Finance,Mechanical Engineer,Mechanical Engineer
B.Tech,Electrical,9.87,yes,9,"VHDL, Circuit Design, Embedded Systems, C",AWS Certified,Finance,Embedded Systems Engineer,Software Engineer
MBA,Economics,9.97,yes,11,"Econometrics, R, Statistics, Python",Data Science Certificate,Research,Financial Analyst,Data Analyst
MBA,Economics,9.44,yes,10,"Statistics, Python, R, Data Analysis",AWS Certified,Finance,Financial Analyst,Data Analyst
MBA,Finance,8.33,no,9,"Risk Analysis, Accounting, Excel",Data Science Certificate,Manufacturing,Investment Analyst,Data Analyst
M.Tech,Computer Science,8.73,no,4,"C++, Machine Learning, Java, Python, SQL",Six Sigma,IT,Data Scientist,Data Scientist
B.Tech,Mechanical,8.52,no,7,"Thermodynamics, AutoCAD, SolidWorks",PMP,Research,Design Engineer,Software Engineer
B.Tech,Electrical,9.34,yes,7,"VHDL, Circuit Design",Six Sigma,Education,Hardware Engineer,Software Engineer
MBA,Finance,9.42,no,6,"Financial Modeling, SQL, Accounting, Excel",Data Science Certificate,IT,Financial Analyst,Data Analyst
MBA,Economics,9.84,no,6,"Python, Data Analysis, Econometrics, Statistics, R",AWS Certified,Research,Financial Analyst,Data Analyst
M.Tech,Computer Science,9.96,no,0,"Java, C++",AWS Certified,Manufacturing,Software Engineer,Software Engineer
B.Tech,Computer Science,7.74,no,7,"Java, SQL, Python",Six Sigma,Finance,Software Engineer,Software Engineer
B.Tech,Electrical,8.11,no,1,"C, Embedded Systems, Circuit Design",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
M.Tech,Mechanical,7.39,yes,10,"MATLAB, SolidWorks, Thermodynamics",PMP,Education,Design Engineer,Software Engineer
B.Tech,Electrical,9.26,yes,3,"MATLAB, VHDL, C, Circuit Design",AWS Certified,Finance,Hardware Engineer,Software Engineer
MBA,Economics,7.0,yes,2,"Python, Econometrics",AWS Certified,IT,Financial Analyst,Data Analyst
M.Tech,Computer Science,7.34,no,6,"Java, Machine Learning, Python, C++",Data Science Certificate,Manufacturing,Data Analyst,Data Analyst
B.Tech,Electrical,8.9,no,3,"MATLAB, VHDL, C, Circuit Design, Embedded Systems",AWS Certified,Education,Embedded Systems Engineer,Software Engineer
B.Tech,Electrical,5.09,no,10,"Embedded Systems, MATLAB",Six Sigma,Finance,Embedded Systems Engineer,Software Engineer
B.Tech,Computer Science,5.53,yes,7,"SQL, Machine Learning, C++, Java",PMP,IT,Data Analyst,Data Analyst
B.Tech,Electrical,7.3,yes,4,"C, VHDL, MATLAB, Circuit Design",Data Science Certificate,Research,Hardware Engineer,Software Engineer
MBA,Economics,7.1,no,5,"Python, Data Analysis, Econometrics, Statistics, R",Six Sigma,Education,Financial Analyst,Data Analyst
MBA,Finance,5.87,yes,5,"Accounting, Excel, Financial Modeling",AWS Certified,Finance,Financial Analyst,Data Analyst
MBA,Finance,6.19,no,6,"Accounting, Financial Modeling, Excel",Data Science Certificate,Finance,Financial Analyst,Data Analyst
M.Tech,Computer Science,8.55,yes,0,"Python, Machine Learning, Java",Data Science Certificate,Research,Data Scientist,Data Scientist
B.Tech,Electrical,7.7,no,10,"C, VHDL",Data Science Certificate,Finance,Hardware Engineer,Software Engineer
M.Tech,Mechanical,8.2,yes,3,"Thermodynamics, SolidWorks",AWS Certified,Finance,Design Engineer,Software Engineer
MBA,Economics,8.75,no,8,"R, Statistics, Data Analysis",Data Science Certificate,Research,Financial Analyst,Data Analyst
B.Tech,Electrical,7.38,no,10,"C, VHDL",Data Science Certificate,Finance,Hardware Engineer,Software Engineer
